Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
income,cam_care_pd_questionnaire,,radio,What is your family's income in past 12 months? (Select all that apply.),"1, Less than $20,000 | 2, Between $20-40,000 | 3, Between $40-60,000 | 4, Between $60-80,000 | 5, Between $80-100,000 | 6, Between $100-150,000 | 7, More than $150,000",,,,,,,,,,,,
highway,cam_care_pd_questionnaire,ENVIRONMENTAL HISTORY,text,"How many miles is your home from the
nearest highway?
",,,number,,,,,,,,,,
ag,cam_care_pd_questionnaire,,text,"How many miles is your home from the
nearest agricultural area?
",,,number,,,,,,,,,,
wellwater,cam_care_pd_questionnaire,,yesno,"Have you ever lived somewhere where you were on a well? (drank well water) 
",,,,,,,,,,,,,
welldrink,cam_care_pd_questionnaire,,yesno,Was the water from the well filtered before drinking and cooking with it? ,,,,,,,,,,,,,
wellshower,cam_care_pd_questionnaire,,yesno,Was the well water used for showering and bathing filtered before use? ,,,,,,,,,,,,,
wellyears,cam_care_pd_questionnaire,,text,For how many years did you live on well water?,,,,,,,,,,,,,
chickenfreq,cam_care_pd_questionnaire,Food Frequency Questionnaire -     Please answer the following to the best of your knowledge regarding the frequency that you consume these foods. Estimate your average intake over the past 6 months.,radio,"Chicken 
Serving size: 1 large or two small pieces (4 oz)","1, Never | 2, < 1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week | 7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
turkey,cam_care_pd_questionnaire,,radio,"Turkey
Serving size: 1 large or two small pieces (4 oz)","1, Never | 2, < 1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week | 7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
beeffreq,cam_care_pd_questionnaire,,radio,Beef - 4 ounces or 1 medium patty,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
portfreq,cam_care_pd_questionnaire,,radio,Pork - 4 ounces or 1 medium patty,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
fvegfreq,cam_care_pd_questionnaire,,radio,Fresh Vegetables  - 1/2 cup,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
cvegfreq,cam_care_pd_questionnaire,,radio,Canned Vegetables - 1/2 cup,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
frvegfreq,cam_care_pd_questionnaire,,radio,Frozen Vegetables - 1/2 cup,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
ffruitfreq,cam_care_pd_questionnaire,,radio,"Fresh Fruit - 1 medium, 1/2 cup","1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
cfruitfreq,cam_care_pd_questionnaire,,radio,Canned Fruit - 1/2 cup,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
frfruitfreq,cam_care_pd_questionnaire,,radio,Frozen Fruit - 1/2 cup,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
organicveg,cam_care_pd_questionnaire,,text,What percentage of the time do you buy organic fruits and vegetables? ,,,,,,,,,,,,,
cheesefreq,cam_care_pd_questionnaire,,radio,"Cheese - 1 slice, 1/2 oz., 1 Tbsp","1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
milkfreq,cam_care_pd_questionnaire,,radio,"Milk - 1 cup (from cows, do not include non-dairy milks)","1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
creamfreq,cam_care_pd_questionnaire,,radio,Cream - 1/4 cup,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
icecrfrq,cam_care_pd_questionnaire,,radio,"Ice Cream - 1 scoop, ~ 1/2 cup","1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
yogurt,cam_care_pd_questionnaire,,radio,Yogurt- 3/4 cup (6 oz) (typical individual container),"1, Never | 2, < 1 per month | 3, 1 per month | 4, 2-3 per month | 5, 1 per week | 6, 2-4x per week | 7, 5-6x per week | 8, Once daily | 9, 2-4x per day | 10, 4-6x per day",,,,,,,,,,,,
buttrfreq,cam_care_pd_questionnaire,,radio,Butter - 1 tsp,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
organicdairy,cam_care_pd_questionnaire,,text,What percentage of the time do you buy organic dairy products?,,,,,,,,,,,,,
beanfreq,cam_care_pd_questionnaire,,radio,Beans - 1/2 cup,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
nutfreq,cam_care_pd_questionnaire,,radio,Nuts and Seeds - 1/4 cup or 2 Tbsp spread (e.g. peanut butter),"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
fishfreq,cam_care_pd_questionnaire,,radio,Fish (non-fried) - 4 ounces,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
farmraised,cam_care_pd_questionnaire,,text,What percentage of the time do you buy farm-raised fish? ,,,,,,,,,,,,,
friedfreq,cam_care_pd_questionnaire,,radio,"Fried foods (fries, chicken, etc) - 4 ounces","1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
sodafreq,cam_care_pd_questionnaire,,radio,"Non-diet soda - 12 ounces, 1 can","1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
dietsodafreq,cam_care_pd_questionnaire,,radio,"Diet soda - 12 ounces, 1 can","1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
spicefreq,cam_care_pd_questionnaire,,radio,"Spices (cinnamon, cloves, etc) - 1/4 teaspoon","1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
oatmfreg,cam_care_pd_questionnaire,,radio,Oatmeal - 1 cup,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
eggfreq,cam_care_pd_questionnaire,,radio,Eggs - 1 egg,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
organiceggs,cam_care_pd_questionnaire,,text,What percentage of the time do you buy organic eggs?,,,,,,,,,,,,,
breadfreq,cam_care_pd_questionnaire,,radio,Bread - 1 slice,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
pastafreq,cam_care_pd_questionnaire,,radio,Pasta - 1 cup,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
glutenfree,cam_care_pd_questionnaire,,text,What percentage of your pasta and grains gluten-free?,,,,,,,,,,,,,
frherbfreq,cam_care_pd_questionnaire,,radio,"Fresh Herbs (Thyme, Basil, etc) - 1 tsp","1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
winefreq,cam_care_pd_questionnaire,,radio,"Wine - 1 med glass, 6 oz","1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
whitewine,cam_care_pd_questionnaire,,text,What percentage of the time do you drink white wine (or rosÌ©)?,,,,,,,,,,,,,
redwine,cam_care_pd_questionnaire,,text,What percentage of the time do you drink red wine? ,,,,,,,,,,,,,
champagne,cam_care_pd_questionnaire,,text,What percentage of the time do you drink champagne? ,,,,,,,,,,,,,
beerfreq,cam_care_pd_questionnaire,,radio,Beer - 12 ounce can or bottle,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
lager,cam_care_pd_questionnaire,,text,"What percentage of the time do you drink lagers? 
(e.g. Pilsner (Coors, Miller, Bud), Bock, Dunkel, Oktoberfest)
",,,,,,,,,,,,,
ales,cam_care_pd_questionnaire,,text,"What percentage of the time do you drink ales? 
(e.g. Barley wine, Bitter, Brown, India Pale, Pale, Porter, Stout, Wheat)",,,,,,,,,,,,,
caskales,cam_care_pd_questionnaire,,text,"What percentage of the time do you drink cask ales?  (Unfiltered, unpasturized ales)",,,,,,,,,,,,,
liqourfreq,cam_care_pd_questionnaire,,radio,Liquor - 1 oz,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
coffeefreq,cam_care_pd_questionnaire,,radio,"Coffee - 8 oz coffee, 1 shot espresso","1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
greenteafreq,cam_care_pd_questionnaire,,radio,Green tea -1 cup,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
blackteafreq,cam_care_pd_questionnaire,,radio,Black tea - 1 cup,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
olivefreq,cam_care_pd_questionnaire,,radio,Olive oil - 1 tsp,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
coconutfreq,cam_care_pd_questionnaire,,radio,Coconut oil - 1 tsp,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
safffreq,cam_care_pd_questionnaire,,radio,"Plant-based oils -  1 tsp.
(Safflower, sunflower, canola oil, etc.)","1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
soyfreq,cam_care_pd_questionnaire,,radio,"Soy - 3 ounces
(tofu, tempeh, etc.)","1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
juicefreq,cam_care_pd_questionnaire,,radio,"Juice -  8 oz., 1 glass","1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
canfreq,cam_care_pd_questionnaire,,radio,Eat food from a can,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
plasticfreq,cam_care_pd_questionnaire,,radio,Drink from plastic bottle,"1, Never | 2, <1 per month | 3, 1 per month | 4, 2-3x month | 5, 1 per week | 6, 2-4x week | 10, 5-6x week |7, Once daily | 8, 2-4x day | 9, 4-6x day",,,,,,,,,,,,
pharma,cam_care_pd_questionnaire,,checkbox,"Which of the following medications, if any, are you taking?","1, Amantadine (Symmetrel) | 2, Apomorphine (Apokyn) | 3, Benztropine (Cogentin) | 4, Bromocriptine (Parlodel) | 5, Carbidopa, levodopa, and entacapone (Stalevo) | 6, Carbidopa-levodopa (Sinemet)-- Immediate release | 7, Carbidopa-levodopa -- Controlled release | 8, Carbidopa-levodopa -- Extended release | 9, Duodopa | 10, Entacapone (Comtan) | 11, Levodopa-benserazide (Madopar) | 12, Melevodopa (Sirio) | 13, Pramipexole (Mirapex, Mirapex ER, Mirapexin, Sifrol) | 14, Rasagiline (Azilect) | 15, Ropinirole (Adartel, Requip, Requip XL, Ropark) | 16, Rotigotine (Neupro) | 17, Rytary (carbidopa and levodopa) | 18, Selegiline (I-deprenyl, Eldepryl, Zelapar) | 19, Tolcapone (Tasmar) | 20, Trihexyphenidyl (Apo-Trihex, Artane) | 21, Other PD medication",,,,,,,,,,,,
amantadine_dose,cam_care_pd_questionnaire,Medication Doses and Frequencies,text,Amantadine (Symmetrel) - Dose,,,,,,,[pharma(1)] = '1',,,,,,
amantadine_freq,cam_care_pd_questionnaire,,text,Amantadine (Symmetrel) - Frequency,,,,,,,[pharma(1)] = '1',,,,,,
apormorphine_dose,cam_care_pd_questionnaire,,text,Apomorphine (Apokyn) - Dose,,,,,,,[pharma(2)] = '1',,,,,,
apormorphine_freq,cam_care_pd_questionnaire,,text,Apomorphine (Apokyn) - Frequency,,,,,,,[pharma(2)] = '1',,,,,,
benztropine_dose,cam_care_pd_questionnaire,,text,Benztropine (Cogentin) - Dose,,,,,,,[pharma(3)] = '1',,,,,,
benztropine_freq,cam_care_pd_questionnaire,,text,Benztropine (Cogentin) - Frequency,,,,,,,[pharma(3)] = '1',,,,,,
bromocriptine_dose,cam_care_pd_questionnaire,,text,Bromocriptine (Parlodel) - Dose,,,,,,,[pharma(4)] = '1',,,,,,
bromocriptine_freq,cam_care_pd_questionnaire,,text,Bromocriptine (Parlodel) - Frequency,,,,,,,[pharma(4)] = '1',,,,,,
stavelo_dose,cam_care_pd_questionnaire,,text,"Carbidopa, levodopa, and entacapone (Stalevo) - Dose",,,,,,,[pharma(5)] = '1',,,,,,
stavelo_freq,cam_care_pd_questionnaire,,text,"Carbidopa, levodopa, and entacapone (Stalevo) - Frequency",,,,,,,[pharma(5)] = '1',,,,,,
sinemet_dose,cam_care_pd_questionnaire,,text,Carbidopa-levodopa (Sinemet)-- Immediate release - Dose,,,,,,,[pharma(6)] = '1',,,,,,
sinemet_freq,cam_care_pd_questionnaire,,text,Carbidopa-levodopa (Sinemet)-- Immediate release - Frequency,,,,,,,[pharma(6)] = '1',,,,,,
carbidopa_control_dose,cam_care_pd_questionnaire,,text,Carbidopa-levodopa -- Controlled release - Dose,,,,,,,[pharma(7)] = '1',,,,,,
carbidopa_control_freq,cam_care_pd_questionnaire,,text,Carbidopa-levodopa -- Controlled release - Frequency,,,,,,,[pharma(7)] = '1',,,,,,
carbidopa_ext_dose,cam_care_pd_questionnaire,,text,Carbidopa-levodopa -- Extended release - Dose,,,,,,,[pharma(8)] = '1',,,,,,
carbidopa_ext_freq,cam_care_pd_questionnaire,,text,Carbidopa-levodopa -- Extended release - Frequency,,,,,,,[pharma(8)] = '1',,,,,,
duodopa_dose,cam_care_pd_questionnaire,,text,Duodopa - Dose,,,,,,,[pharma(9)] = '1',,,,,,
duodopa_freq,cam_care_pd_questionnaire,,text,Duodopa - Frequency,,,,,,,[pharma(9)] = '1',,,,,,
entacapone_dose,cam_care_pd_questionnaire,,text,Entacapone (Comtan) - Dose,,,,,,,[pharma(10)] = '1',,,,,,
entacapone_freq,cam_care_pd_questionnaire,,text,Entacapone (Comtan) - Frequency,,,,,,,[pharma(10)] = '1',,,,,,
madopar_dose,cam_care_pd_questionnaire,,text,Levodopa-benserazide (Madopar) - Dose,,,,,,,[pharma(11)] = '1',,,,,,
madopar_freq,cam_care_pd_questionnaire,,text,Levodopa-benserazide (Madopar) - Frequency,,,,,,,[pharma(11)] = '1',,,,,,
melevodopa_dose,cam_care_pd_questionnaire,,text,Melevodopa (Sirio) - Dose,,,,,,,[pharma(12)] = '1',,,,,,
melevodopa_freq,cam_care_pd_questionnaire,,text,Melevodopa (Sirio) - Frequency,,,,,,,[pharma(12)] = '1',,,,,,
pramipexole_dose,cam_care_pd_questionnaire,,text,"Pramipexole (Mirapex, Mirapex ER, Mirapexin, Sifrol) - Dose",,,,,,,[pharma(13)] = '1',,,,,,
pramipexole_freq,cam_care_pd_questionnaire,,text,"Pramipexole (Mirapex, Mirapex ER, Mirapexin, Sifrol) - Frequency",,,,,,,[pharma(13)] = '1',,,,,,
rasagiline_dose,cam_care_pd_questionnaire,,text,Rasagiline (Azilect) - Dose,,,,,,,[pharma(14)] = '1',,,,,,
rasagiline_freq,cam_care_pd_questionnaire,,text,Rasagiline (Azilect) - Frequency,,,,,,,[pharma(14)] = '1',,,,,,
ropinirole_dose,cam_care_pd_questionnaire,,text,"Ropinirole (Adartel, Requip, Requip XL, Ropark) - Dose",,,,,,,[pharma(15)] = '1',,,,,,
ropinirole_freq,cam_care_pd_questionnaire,,text,"Ropinirole (Adartel, Requip, Requip XL, Ropark) - Frequency",,,,,,,[pharma(15)] = '1',,,,,,
rotigotine_dose,cam_care_pd_questionnaire,,text,Rotigotine (Neupro) - Dose,,,,,,,[pharma(16)] = '1',,,,,,
rotigotine_freq,cam_care_pd_questionnaire,,text,Rotigotine (Neupro) - Frequency,,,,,,,[pharma(16)] = '1',,,,,,
rytary_dose,cam_care_pd_questionnaire,,text,Rytary (carbidopa and levodopa) - Dose,,,,,,,[pharma(17)] = '1',,,,,,
rytary_freq,cam_care_pd_questionnaire,,text,Rytary (carbidopa and levodopa) - Frequency,,,,,,,[pharma(17)] = '1',,,,,,
selegiline_dose,cam_care_pd_questionnaire,,text,"Selegiline (I-deprenyl, Eldepryl, Zelapar) - Dose",,,,,,,[pharma(18)] = '1',,,,,,
selegiline_freq,cam_care_pd_questionnaire,,text,"Selegiline (I-deprenyl, Eldepryl, Zelapar) - Frequency",,,,,,,[pharma(18)] = '1',,,,,,
tolcapone_dose,cam_care_pd_questionnaire,,text,Tolcapone (Tasmar) - Dose,,,,,,,[pharma(19)] = '1',,,,,,
tolcapone_freq,cam_care_pd_questionnaire,,text,Tolcapone (Tasmar) - Frequency,,,,,,,[pharma(19)] = '1',,,,,,
artane_dose,cam_care_pd_questionnaire,,text,"Trihexyphenidyl (Apo-Trihex, Artane) - Dose",,,,,,,[pharma(20)] = '1',,,,,,
artane_freq,cam_care_pd_questionnaire,,text,"Trihexyphenidyl (Apo-Trihex, Artane) - Frequency",,,,,,,[pharma(20)] = '1',,,,,,
otherpdmeds,cam_care_pd_questionnaire,,notes,"Other PD Medications - List medications, doses, and frequencies",,,,,,,[pharma(21)] = '1',,,,,,
pharmaceuticals,cam_care_pd_questionnaire,"LIST OF MEDICATIONS & SUPPLEMENTS, whether or not they are for PD    For those of you on many therapies, we realize this is can be a difficult section to fill out. For this study to have meaning, we need to know everything you are taking. Please be as detailed as possible, including doses, brands, and frequency of conventional and alternative medicines.    We appreciate your effort!",notes,"Supplements, herbs, etc. 
(dose, frequency, brand, duration)
examples:
Pharmax finest pure fish oil, 1 Tbsp daily x 4 months
Jarrow Citicoline, 500 mg/ d x 1 year
Centrum multi-vitamin, 2 tabs daily, 10 years",,,,,,,,,,,,,
supplement_herbs,cam_care_pd_questionnaire,,notes,"Non-PD Pharmaceutical Prescriptions (not listed above.)
(dose, frequency, duration)
",,,,,,,,,,,,,
caminfo,cam_care_pd_questionnaire,INFORMATION SOURCES,dropdown,"What is your primary source of information
for Complementary and Alternative Medical
Care?
","1, Books | 2, Web / Online | 3, Health food / Supplement store | 4, Licensed Healthcare Provider | 5, Unlicensed Healthcare Provider | 6, Other",,,,,,,,,,,,
camprovider,cam_care_pd_questionnaire,,checkbox,"In the past 6 months, have you consulted any of the following provider types about CAM strategies for PD?","1, ND (naturopathic physician) | 2, MD (medical doctor, conventional physician) | 3, DO (osteopathic physician) | 4, DC (chiropractor) | 5, ARNP (nurse practioner) | 6, LAc (acupuncturist, Traditional Chinese Medicine) | 7, Other",,,,,,[caminfo] = '4',,,,,,
othercam,cam_care_pd_questionnaire,,text,Other CAM,,,,,,,[camprovider(7)] = '1',,,,,,
other_dx,cam_care_pd_questionnaire,,notes,"Co- morbidities 
List any other diagnosis or illnesses with which you have dealt with over the past 6 months.
(examples: obesity, high blood pressure, hypothyroid, prostate cancer, arthritis, addiction, etc.)",,,,,,,,,,,,,
clinic,cam_care_pd_questionnaire,,checkbox,"Do you recieve care or attend classes at any of
the following in the past 6 months?
","1, Bastyr Center for Natural Health | 2, Bastyr Clinical Research Center | 3, National College of Naturopathic Medicine | 4, Seattle Integrative Medicine | 5, Powering Forward Boot Camp (BGF/YMCA)",,,,,,,,,,,,
doctornames,cam_care_pd_questionnaire,,text,"Please list the name of the health care provider(s) you turn to for Parkinson's-related medical advice. This may be your primary care provider, neurologist, movement disorder specialist, etc.
*We will NOT contact this provider on your behalf or share any of your data! 
Why are we asking? 
If some providers are getting consistently better outcomes than others, we want to know who they are so we can learn from them. 
Provider name, provider type, city, and state:
e.g. Jane Smith, ND, Seattle, WA
e.g. Bob Smith, MD, Austin, TX",,,,,,,,,,,,,
referral,cam_care_pd_questionnaire,,text,How did you hear about this study?,,,,,,,,,,,,,
contact_for_other_studies,cam_care_pd_questionnaire,,checkbox,Would you like to be contacted if there are any other studies for which you may be eligible?,"1, Yes | 2, No",,,,,,,,,,,,
qrquestion,cam_care_pd_questionnaire,Qualitative Research,notes,Please tell us anything else you think we should know.,,,,,,,,,,,,,
thanks,cam_care_pd_questionnaire,,descriptive,"Thank you.  You are almost done with this semi-annual survey.  At some point over the next 7 days, you will receive an email from us with a link to the ASA24.  The ASA24 will ask you to describe all the foods you have eaten in the previous 24 hours.  please do your best to eat as you normally do, and complete the survey as soon as you are able once you receive the email.  Once you've completed that, you won't hear from us for another 6 months!  
Again, your time and efforts are greatly appreciated.
Sincerely, 
CAM Care in PD Staff",,,,,,,,,,,,,
kcal,asa24,,text,KCAL,,,,,,,,,,,,,
current_email,designated_email,,text,Current email,,,email,,,,,,,,,,
baseline_date,designated_email,,text,Date of first survey,,,date_mdy,,,y,,,,,,,"@default=""date"""
study_withdrawal,designated_email,,dropdown,Participation Status,"1, Still in the study | 2, Withdrew | 3, Adverse Event/Deceased | 4, Terminated by Investigator | 5, Screen Failure | 6, Lost to Follow-up",,autocomplete,,,,,,,,,,"@default=""1"""
excludedata,designated_email,,yesno,EXCLUDE from data analysis.,,,,,,,,,,,,,@default='0'
